date_day,year,month,day,day_of_week,day_name,week,quarter,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end
2016-10-19,2016,10,19,2,Wednesday,42,4,False,False,False,False,False
2016-10-20,2016,10,20,3,Thursday,42,4,False,False,False,False,False
2016-10-21,2016,10,21,4,Friday,42,4,False,False,False,False,False
2016-10-22,2016,10,22,5,Saturday,42,4,True,False,False,False,False
2016-10-23,2016,10,23,6,Sunday,42,4,True,False,False,False,False
2016-10-24,2016,10,24,0,Monday,43,4,False,False,False,False,False
2016-10-25,2016,10,25,1,Tuesday,43,4,False,False,False,False,False
2016-10-26,2016,10,26,2,Wednesday,43,4,False,False,False,False,False
2016-10-27,2016,10,27,3,Thursday,43,4,False,False,False,False,False
2016-10-28,2016,10,28,4,Friday,43,4,False,False,False,False,False
2016-10-29,2016,10,29,5,Saturday,43,4,True,False,False,False,False
2016-10-30,2016,10,30,6,Sunday,43,4,True,False,False,False,False
2016-10-31,2016,10,31,0,Monday,44,4,False,False,True,False,False
2016-11-01,2016,11,1,1,Tuesday,44,4,False,True,False,False,False
2016-11-02,2016,11,2,2,Wednesday,44,4,False,False,False,False,False
2016-11-03,2016,11,3,3,Thursday,44,4,False,False,False,False,False
2016-11-04,2016,11,4,4,Friday,44,4,False,False,False,False,False
2016-11-05,2016,11,5,5,Saturday,44,4,True,False,False,False,False
2016-11-06,2016,11,6,6,Sunday,44,4,True,False,False,False,False
2016-11-07,2016,11,7,0,Monday,45,4,False,False,False,False,False
2016-11-08,2016,11,8,1,Tuesday,45,4,False,False,False,False,False
2016-11-09,2016,11,9,2,Wednesday,45,4,False,False,False,False,False
2016-11-10,2016,11,10,3,Thursday,45,4,False,False,False,False,False
2016-11-11,2016,11,11,4,Friday,45,4,False,False,False,False,False
2016-11-12,2016,11,12,5,Saturday,45,4,True,False,False,False,False
2016-11-13,2016,11,13,6,Sunday,45,4,True,False,False,False,False
2016-11-14,2016,11,14,0,Monday,46,4,False,False,False,False,False
2016-11-15,2016,11,15,1,Tuesday,46,4,False,False,False,False,False
2016-11-16,2016,11,16,2,Wednesday,46,4,False,False,False,False,False
2016-11-17,2016,11,17,3,Thursday,46,4,False,False,False,False,False
2016-11-18,2016,11,18,4,Friday,46,4,False,False,False,False,False
2016-11-19,2016,11,19,5,Saturday,46,4,True,False,False,False,False
2016-11-20,2016,11,20,6,Sunday,46,4,True,False,False,False,False
2016-11-21,2016,11,21,0,Monday,47,4,False,False,False,False,False
2016-11-22,2016,11,22,1,Tuesday,47,4,False,False,False,False,False
2016-11-23,2016,11,23,2,Wednesday,47,4,False,False,False,False,False
2016-11-24,2016,11,24,3,Thursday,47,4,False,False,False,False,False
2016-11-25,2016,11,25,4,Friday,47,4,False,False,False,False,False
2016-11-26,2016,11,26,5,Saturday,47,4,True,False,False,False,False
2016-11-27,2016,11,27,6,Sunday,47,4,True,False,False,False,False
2016-11-28,2016,11,28,0,Monday,48,4,False,False,False,False,False
2016-11-29,2016,11,29,1,Tuesday,48,4,False,False,False,False,False
2016-11-30,2016,11,30,2,Wednesday,48,4,False,False,True,False,False
2016-12-01,2016,12,1,3,Thursday,48,4,False,True,False,False,False
2016-12-02,2016,12,2,4,Friday,48,4,False,False,False,False,False
2016-12-03,2016,12,3,5,Saturday,48,4,True,False,False,False,False
2016-12-04,2016,12,4,6,Sunday,48,4,True,False,False,False,False
2016-12-05,2016,12,5,0,Monday,49,4,False,False,False,False,False
2016-12-06,2016,12,6,1,Tuesday,49,4,False,False,False,False,False
2016-12-07,2016,12,7,2,Wednesday,49,4,False,False,False,False,False
2016-12-08,2016,12,8,3,Thursday,49,4,False,False,False,False,False
2016-12-09,2016,12,9,4,Friday,49,4,False,False,False,False,False
2016-12-10,2016,12,10,5,Saturday,49,4,True,False,False,False,False
2016-12-11,2016,12,11,6,Sunday,49,4,True,False,False,False,False
2016-12-12,2016,12,12,0,Monday,50,4,False,False,False,False,False
2016-12-13,2016,12,13,1,Tuesday,50,4,False,False,False,False,False
2016-12-14,2016,12,14,2,Wednesday,50,4,False,False,False,False,False
2016-12-15,2016,12,15,3,Thursday,50,4,False,False,False,False,False
2016-12-16,2016,12,16,4,Friday,50,4,False,False,False,False,False
2016-12-17,2016,12,17,5,Saturday,50,4,True,False,False,False,False
2016-12-18,2016,12,18,6,Sunday,50,4,True,False,False,False,False
2016-12-19,2016,12,19,0,Monday,51,4,False,False,False,False,False
2016-12-20,2016,12,20,1,Tuesday,51,4,False,False,False,False,False
2016-12-21,2016,12,21,2,Wednesday,51,4,False,False,False,False,False
2016-12-22,2016,12,22,3,Thursday,51,4,False,False,False,False,False
2016-12-23,2016,12,23,4,Friday,51,4,False,False,False,False,False
